,ano,uf,mortos,feridos,ilesos
0,2007,AC,20,306,425
1,2007,AL,132,1241,2014
2,2007,AM,12,160,260
3,2007,AP,15,179,210
4,2007,BA,605,5120,11229
5,2007,CE,182,1649,2814
6,2007,DF,67,968,1522
7,2007,ES,217,3358,9237
8,2007,GO,325,4254,6927
9,2007,MA,277,1681,2541
10,2007,MG,1032,14564,25130
11,2007,MS,155,1774,3301
12,2007,MT,223,1842,3500
13,2007,PA,151,1733,4767
14,2007,PB,164,1898,3618
15,2007,PE,356,2944,6487
16,2007,PI,148,1296,2226
17,2007,PR,333,5372,8773
18,2007,RJ,480,5063,18022
19,2007,RN,168,1610,4562
20,2007,RO,85,1654,2721
21,2007,RR,51,450,648
22,2007,RS,353,5786,15792
23,2007,SC,587,9790,19661
24,2007,SE,102,720,1698
25,2007,SP,402,5323,15328
26,2007,TO,97,558,877
27,2008,AC,13,310,499
28,2008,AL,102,1258,2328
29,2008,AM,11,188,305
30,2008,AP,13,210,261
31,2008,BA,660,5066,12385
32,2008,CE,193,1913,3520
33,2008,DF,49,963,1426
34,2008,ES,208,3486,9422
35,2008,GO,391,4537,8198
36,2008,MA,246,1646,2953
37,2008,MG,1142,15323,27921
38,2008,MS,174,1994,3945
39,2008,MT,233,2108,4363
40,2008,PA,174,1634,5180
41,2008,PB,185,2130,4366
42,2008,PE,376,3249,7358
43,2008,PI,165,1397,2412
44,2008,PR,292,5457,12962
45,2008,RJ,487,5378,21191
46,2008,RN,139,1415,4309
47,2008,RO,117,1963,3280
48,2008,RR,33,321,461
49,2008,RS,398,5936,16685
50,2008,SC,539,10093,21073
51,2008,SE,81,781,1809
52,2008,SP,394,5283,16959
53,2008,TO,97,581,1046
54,2009,AC,31,356,554
55,2009,AL,125,1489,2358
56,2009,AM,11,184,431
57,2009,AP,9,202,212
58,2009,BA,638,5226,13085
59,2009,CE,141,1827,4133
60,2009,DF,43,998,1870
61,2009,ES,220,3677,9938
62,2009,GO,451,5216,9395
63,2009,MA,279,1751,2931
64,2009,MG,1210,16511,31640
65,2009,MS,177,2054,4218
66,2009,MT,226,2251,5082
67,2009,PA,169,1791,5482
68,2009,PB,202,2314,4703
69,2009,PE,429,3643,8224
70,2009,PI,199,1423,2739
71,2009,PR,558,8536,21640
72,2009,RJ,469,5827,22183
73,2009,RN,140,1683,4914
74,2009,RO,97,2487,4617
75,2009,RR,19,346,370
76,2009,RS,379,6009,17497
77,2009,SC,563,11009,24606
78,2009,SE,77,694,1783
79,2009,SP,382,5172,17528
80,2009,TO,93,837,1186
81,2010,AC,14,374,672
82,2010,AL,153,1693,3250
83,2010,AM,18,228,605
84,2010,AP,12,177,237
85,2010,BA,813,5842,14295
86,2010,CE,276,2596,5305
87,2010,DF,41,991,1981
88,2010,ES,315,4012,11907
89,2010,GO,515,5744,12036
90,2010,MA,298,1870,3596
91,2010,MG,1344,16718,35719
92,2010,MS,197,2462,5662
93,2010,MT,234,2360,5259
94,2010,PA,202,2050,7161
95,2010,PB,194,2315,5096
96,2010,PE,475,4243,11080
97,2010,PI,208,1607,3350
98,2010,PR,723,11444,30358
99,2010,RJ,532,6298,26181
100,2010,RN,194,2032,5868
101,2010,RO,123,2355,5264
102,2010,RR,33,214,346
103,2010,RS,500,7119,22982
104,2010,SC,567,11284,27721
105,2010,SE,120,896,2097
106,2010,SP,407,5395,18781
107,2010,TO,115,898,1468
108,2011,AC,23,492,695
109,2011,AL,156,1843,3116
110,2011,AM,34,270,509
111,2011,AP,19,308,346
112,2011,BA,779,6377,15421
113,2011,CE,227,2422,5452
114,2011,DF,63,1212,2356
115,2011,ES,317,4077,11863
116,2011,GO,510,5511,11636
117,2011,MA,311,2137,4111
118,2011,MG,1304,16532,35833
119,2011,MS,228,2426,5334
120,2011,MT,260,2231,5600
